epoch,batch,generator_loss,discriminator_loss
1.0,1.0,1.0288782119750977,845.52490234375
1.0,2.0,-4.0146074295043945,50.544090270996094
1.0,3.0,-4.364998817443848,14.025494575500488
1.0,4.0,-3.1840109825134277,1.6368398666381836
1.0,5.0,-3.417693614959717,-5.4474992752075195
1.0,6.0,-4.8210859298706055,-8.900877952575684
1.0,7.0,-0.4951951205730438,-12.080694198608398
1.0,8.0,1.5966835021972656,-13.078289985656738
1.0,9.0,1.2102177143096924,-16.235700607299805
1.0,10.0,4.786581993103027,-18.4141788482666
1.0,11.0,4.787405014038086,-18.211917877197266
1.0,12.0,4.787985324859619,-20.684368133544922
1.0,13.0,0.7072221040725708,-21.369922637939453
1.0,14.0,5.63278865814209,-21.044334411621094
1.0,15.0,3.0171151161193848,-23.217041015625
1.0,16.0,-0.7964557409286499,-21.058765411376953
1.0,17.0,0.930381178855896,-19.663772583007812
1.0,18.0,-2.1464548110961914,-25.834821701049805
1.0,19.0,2.9937632083892822,-20.58973503112793
1.0,20.0,13.577169418334961,-27.095930099487305
1.0,21.0,-4.133910179138184,-30.962215423583984
1.0,22.0,3.6249642372131348,-17.074512481689453
1.0,23.0,8.374850273132324,-22.992229461669922
1.0,24.0,5.7638092041015625,-30.91720962524414
1.0,25.0,-0.36872759461402893,-20.212045669555664
1.0,26.0,6.5495500564575195,-30.06589698791504
1.0,27.0,10.703398704528809,-32.04021453857422
1.0,28.0,-10.325301170349121,-17.743816375732422
1.0,29.0,4.5214691162109375,-23.502342224121094
1.0,30.0,11.392253875732422,-29.641508102416992
1.0,31.0,10.613039016723633,-28.268474578857422
1.0,32.0,-19.326492309570312,-18.445371627807617
1.0,33.0,1.7808760404586792,-20.517446517944336
1.0,34.0,-0.7217544317245483,-17.471078872680664
1.0,35.0,6.552106857299805,-38.428977966308594
1.0,36.0,-33.5878791809082,-24.66106605529785
1.0,37.0,17.958717346191406,-39.92302322387695
1.0,38.0,-33.398189544677734,-19.55181121826172
1.0,39.0,-19.30508041381836,-44.996002197265625
1.0,40.0,7.0383195877075195,-50.49208068847656
2.0,1.0,-13.473930358886719,-39.85984802246094
