epoch,batch,generator_loss,discriminator_loss,discriminator_real_loss,discriminator_fake_loss,w_gap,gradient_penalty,drift_penalty
1.0,1.0,-2.4149327278137207,2544.1826171875,2.703021764755249,2.2306318283081055,0.47238993644714355,254.46458435058594,0.0092476736754179
1.0,2.0,-9.97457218170166,1627.3446044921875,3.0821890830993652,10.348011016845703,-7.265821933746338,162.00680541992188,0.010605434887111187
1.0,3.0,-17.0082950592041,1092.5242919921875,4.342313289642334,17.554847717285156,-13.212534427642822,107.92920684814453,0.019641242921352386
1.0,4.0,-23.206695556640625,704.1324462890625,5.760619163513184,24.329669952392578,-18.569050788879395,68.55293273925781,0.03412868082523346
1.0,5.0,-29.35031509399414,445.53680419921875,7.461764335632324,30.782344818115234,-23.32058048248291,42.215972900390625,0.05649028345942497
1.0,6.0,-34.08086395263672,355.5606384277344,9.234960556030273,36.068397521972656,-26.833436965942383,32.864139556884766,0.08583027869462967
1.0,7.0,-37.12174606323242,235.8070526123047,11.218377113342285,39.51708221435547,-28.298705101013184,20.73818588256836,0.12648101150989532
1.0,8.0,-38.07075881958008,187.6865692138672,12.907110214233398,41.05657196044922,-28.14946174621582,15.936932563781738,0.16777890920639038
1.0,9.0,-39.4008674621582,212.23690795898438,14.706774711608887,43.285484313964844,-28.578709602355957,18.34410285949707,0.2171802520751953
1.0,10.0,-40.73148727416992,155.81008911132812,16.80947494506836,44.52113342285156,-27.711658477783203,12.781438827514648,0.28404998779296875
1.0,11.0,-41.20721435546875,136.83995056152344,18.406396865844727,44.93737030029297,-26.530973434448242,10.996828079223633,0.34069228172302246
1.0,12.0,-39.831974029541016,103.58448028564453,20.178234100341797,43.974761962890625,-23.796527862548828,7.937811374664307,0.4098423719406128
1.0,13.0,-38.98611831665039,103.50729370117188,21.62532615661621,43.20072555541992,-21.57539939880371,8.14603042602539,0.47158926725387573
1.0,14.0,-36.2113151550293,62.84476089477539,23.374326705932617,39.8328857421875,-16.458559036254883,4.583660125732422,0.5496031045913696
1.0,15.0,-38.081459045410156,103.72825622558594,24.571086883544922,43.268226623535156,-18.697139739990234,8.442174911499023,0.6093635559082031
